	masse A		
t	x	y	
0,000	-4,796	13,51
0,033	-6,786	11,37
0,067	-8,436	9,757
0,100	-10,43	7,611
0,133	-12,09	5,586
0,167	-14,03	3,085
0,200	-15,69	1,365
0,234	-17,63	-1,341
0,267	-19,28	-3,388
0,300	-20,77	-5,059
0,334	-22,36	-7,054
0,367	-23,81	-8,803
0,400	-25,30	-10,46
0,434	-26,49	-11,68
0,467	-27,93	-13,36
0,500	-29,03	-14,15
0,534	-30,50	-15,62
0,567	-31,57	-16,29
0,600	-32,65	-16,79
0,634	-33,66	-17,37
0,667	-34,69	-17,83
0,701	-35,50	-17,86
0,734	-36,34	-17,81
0,767	-37,17	-17,76
0,801	-37,92	-17,29
0,834	-38,42	-16,38
0,867	-39,03	-15,27
0,901	-39,59	-14,66
0,934	-39,99	-13,77
0,967	-40,53	-12,84
1,001	-40,66	-11,53
1,034	-41,08	-10,32
1,067	-41,15	-8,723
1,101	-41,16	-6,931
1,134	-41,23	-4,834
1,168	-41,66	-3,174
1,201	-41,77	-1,572
1,234	-41,18	1,890
1,268	-41,21	3,997
1,301	-40,83	6,742
1,334	-40,41	9,406
1,368	-39,87	11,93
1,401	-39,37	14,29
1,434	-38,86	16,54
1,468	-37,94	18,86
1,501	-37,29	20,29
1,534	-36,30	21,93
1,568	-35,26	23,16
1,601	-34,29	24,14
1,635	-33,15	24,51
1,668	-31,68	24,90
1,701	-30,17	25,17
1,735	-28,93	24,05
1,768	-27,42	23,06
1,801	-25,79	21,99
1,835	-24,26	20,86
1,868	-22,66	19,41
1,901	-20,64	18,26
1,935	-18,92	16,37
1,968	-16,92	14,88
2,001	-15,26	12,68
2,035	-13,20	10,79
2,068	-11,32	8,716
2,102	-9,372	6,357
2,135	-7,379	4,431
2,168	-5,485	2,365
2,202	-3,468	-0,152
2,235	-1,735	-2,427
2,268	0,330	-3,859
2,302	2,365	-5,811
2,335	4,437	-7,508
2,368	6,512	-8,959
2,402	8,387	-10,39
2,435	10,25	-11,70
2,468	12,23	-12,57
2,502	14,12	-13,70
2,535	15,91	-14,36
2,569	17,57	-15,15
2,602	19,22	-15,74
2,635	20,77	-16,00
2,669	22,33	-16,16
2,702	23,88	-15,98
2,735	25,18	-15,91
2,769	26,51	-15,62
2,802	27,60	-15,02
2,835	28,81	-13,74
2,869	29,65	-13,20
2,902	30,57	-12,19
2,935	31,19	-11,43
2,969	31,65	-10,26
3,002	32,10	-8,956
3,036	32,17	-7,855
3,069	32,22	-6,408
3,102	32,15	-4,750
3,136	32,11	-2,796
3,169	31,95	-0,583
3,202	31,42	1,732
3,236	30,63	3,917
3,269	29,79	6,245
3,302	28,76	8,613
3,336	27,68	10,93
3,369	26,55	13,44
3,402	25,21	15,56
3,436	23,81	17,45
3,469	22,28	19,49
3,503	20,73	21,17
3,536	19,15	22,64
3,569	17,29	23,64
3,603	15,67	24,78
3,636	13,91	25,24
3,669	12,01	25,35
3,703	10,22	25,41
3,736	8,348	25,24
3,769	6,347	24,14
3,803	4,574	22,72
3,836	2,610	22,09
3,869	0,872	20,90
3,903	-1,048	19,44
3,936	-3,012	17,81
3,970	-4,879	16,22
4,003	-6,609	14,40
4,036	-8,531	12,46
4,070	-10,53	10,14
4,103	-12,26	8,092
4,136	-14,08	5,929
4,170	-16,11	3,418
4,203	-17,72	1,582
4,236	-19,48	-0,861
4,270	-21,30	-3,127
4,303	-22,81	-5,074
4,336	-24,33	-7,038
4,370	-25,69	-8,603
4,403	-27,04	-10,13
4,437	-28,47	-11,82
4,470	-29,75	-13,14
4,503	-31,07	-14,46
4,537	-32,21	-15,32
4,570	-33,36	-16,53
4,603	-34,46	-17,24
4,637	-35,50	-17,80
4,670	-36,31	-18,14
4,703	-37,25	-18,47
4,737	-38,07	-18,42
4,770	-38,82	-18,45
4,803	-39,48	-17,88
4,837	-40,27	-17,06
4,870	-40,79	-16,27
4,904	-41,34	-15,68
4,937	-41,67	-14,73
4,970	-42,07	-13,79
5,004	-42,33	-12,69
5,037	-42,65	-11,35
5,070	-42,72	-9,746
5,104	-42,66	-8,101
5,137	-42,81	-5,894
5,170	-43,10	-4,233
5,204		
5,237	-42,61	0,737
5,271	-42,45	3,118
5,304	-42,13	5,430
5,337	-41,69	8,006
5,371	-41,17	10,37
5,404	-40,59	12,47
5,437	-39,95	14,95
5,471	-39,23	16,82
5,504	-38,19	18,62
5,537	-37,30	20,03
5,571	-36,37	21,28
5,604	-35,25	21,92
5,637	-34,21	22,11
5,671	-32,64	22,42
5,704	-31,25	22,44
5,738	-29,94	21,43
5,771	-28,50	20,48
5,804	-26,86	19,45
5,838	-25,28	18,04
5,871	-23,43	16,87
5,904	-21,71	15,45
5,938	-19,93	13,46
5,971	-17,99	11,86
6,004	-16,14	9,597
6,038	-14,33	7,581
6,071	-12,46	5,517
6,104	-10,51	3,574
6,138	-8,584	1,416
6,171	-6,589	-0,687
6,205	-4,527	-2,811
6,238	-2,435	-5,100
6,271	-0,644	-6,781
6,305	1,527	-8,394
6,338	3,441	-10,17
6,371	5,532	-11,74
6,405	7,582	-12,95
6,438	9,669	-14,04
6,471	11,50	-15,04
6,505	13,45	-16,17
6,538	15,27	-16,93
6,571	16,93	-17,64
6,605	18,70	-17,93
6,638	20,26	-18,30
6,672	21,86	-18,36
6,705	23,25	-18,39
6,738	24,53	-18,36
6,772	25,90	-17,66
6,805	27,08	-17,03
6,838	28,13	-15,96
6,872	29,06	-15,09
6,905	29,66	-14,51
6,938	30,55	-13,13
6,972	30,99	-12,25
7,005	31,27	-11,21
7,038	31,63	-9,574
7,072	31,61	-7,976
7,105	31,62	-6,225
7,139	31,28	-4,811
7,172	31,02	-2,427
7,205	30,55	-0,254
